M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed7,1,1,9,0,False,False,,,0,34.0,75.0,1454.0,4.0,5.0,False,1.0,34.0,34.0,False
20,10,_original_nint128_seed7,1,1,9,1,False,False,,,1,32.0,72.0,1420.0,5.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed7,1,1,9,2,False,False,,,2,29.0,63.0,1357.0,9.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed7,1,1,9,3,False,False,,,3,35.0,78.0,1473.0,3.0,5.0,False,1.0,35.0,35.0,False
20,10,_original_nint128_seed7,1,1,9,4,False,False,,,4,30.0,64.0,1303.0,9.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed7,1,1,9,5,False,False,,,5,31.0,68.0,1322.0,8.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed7,1,1,9,6,False,False,,,6,32.0,73.0,1406.0,6.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed7,1,1,9,7,False,False,,,7,28.0,61.0,1212.0,13.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed7,1,1,9,8,False,False,,,8,34.0,76.0,1409.0,4.0,5.0,False,1.0,34.0,34.0,False
20,10,_original_nint128_seed7,1,1,9,9,False,False,,,9,26.0,59.0,1179.0,9.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed7,2,2,8,0;2,False,False,,2,0,26.0,56.0,1311.0,13.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed7,2,2,8,1;2,False,False,,2,1,25.0,56.0,1272.0,15.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed7,2,2,8,2;3,False,False,,2,3,27.0,59.0,1330.0,12.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed7,2,2,8,2;4,False,False,,2,4,24.0,51.0,1155.0,19.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed7,2,2,8,2;5,False,False,,2,5,23.0,49.0,1179.0,17.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed7,2,2,8,2;7,False,False,,7,2,23.0,49.0,1069.0,22.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed7,2,2,8,2;8,False,False,,2,8,26.0,57.0,1266.0,13.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed7,2,2,8,2;9,False,False,,9,2,20.0,43.0,1036.0,18.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed7,2,2,8,0;9,False,False,,9,0,24.0,54.0,1133.0,13.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed7,2,2,8,1;9,False,False,,9,1,22.0,49.0,1098.0,15.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed7,2,2,8,4;9,False,False,,9,4,20.0,40.0,982.0,18.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed7,2,2,8,5;9,False,False,,9,5,21.0,48.0,993.0,18.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed7,2,2,8,6;9,False,False,,9,6,22.0,51.0,1084.0,16.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed7,2,2,8,7;9,False,False,,9,7,19.0,41.0,890.0,23.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed7,2,2,8,8;9,False,False,,9,8,24.0,55.0,1087.0,14.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed7,2,2,8,1;8,False,False,,1,8,29.0,66.0,1329.0,9.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed7,2,2,8,3;8,False,False,,8,3,32.0,72.0,1382.0,7.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed7,2,2,8,4;8,False,False,,4,8,27.0,58.0,1212.0,13.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed7,2,2,8,5;8,False,False,,5,8,29.0,63.0,1231.0,12.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed7,2,2,8,6;8,False,False,,6,8,29.0,67.0,1315.0,10.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed7,2,2,8,7;8,False,False,,7,8,25.0,55.0,1121.0,17.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed7,2,2,8,0;7,False,False,,7,0,25.0,54.0,1166.0,17.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed7,2,2,8,1;7,False,False,,7,1,23.0,51.0,1132.0,18.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed7,2,2,8,3;7,False,False,,7,3,26.0,57.0,1185.0,16.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed7,2,2,8,4;7,False,False,,7,4,23.0,51.0,1011.0,24.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed7,2,2,8,5;7,False,False,,7,5,23.0,48.0,1034.0,21.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed7,2,2,8,6;7,False,False,,7,6,23.0,52.0,1118.0,19.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed7,2,2,8,0;3,False,False,,0,3,32.0,71.0,1427.0,7.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed7,2,2,8,1;3,False,False,,1,3,30.0,68.0,1393.0,8.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed7,2,2,8,3;4,False,False,,4,3,28.0,60.0,1276.0,12.0,5.0,False,1.0,28.0,28.0,False
