M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed24,1,1,9,0,False,False,,,0,29.0,57.0,880.0,7.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed24,1,1,9,1,False,False,,,1,31.0,66.0,928.0,3.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed24,1,1,9,2,False,False,,,2,26.0,54.0,692.0,9.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed24,1,1,9,3,False,False,,,3,31.0,64.0,872.0,5.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed24,1,1,9,5,False,False,,,5,29.0,63.0,906.0,6.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed24,1,1,9,6,False,False,,,6,30.0,60.0,818.0,7.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed24,1,1,9,7,False,False,,,7,31.0,66.0,772.0,4.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed24,1,1,9,8,False,False,,,8,28.0,59.0,904.0,8.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed24,1,1,9,9,False,False,,,9,28.0,62.0,902.0,9.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed24,2,2,8,0;2,False,False,,2,0,21.0,41.0,618.0,17.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,2,2,8,1;2,False,False,,2,1,22.0,47.0,667.0,12.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed24,2,2,8,2;3,False,False,,2,3,22.0,45.0,611.0,14.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed24,2,2,8,2;5,False,False,,2,5,21.0,44.0,644.0,16.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,2,2,8,2;6,False,False,,2,6,22.0,44.0,556.0,17.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed24,2,2,8,2;7,False,False,,2,7,23.0,48.0,511.0,13.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed24,2,2,8,2;8,False,False,,2,8,21.0,45.0,640.0,18.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,2,2,8,2;9,False,False,,2,9,20.0,43.0,641.0,18.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,2,2,8,0;9,False,False,,0,9,23.0,48.0,829.0,16.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed24,2,2,8,1;9,False,False,,9,1,24.0,55.0,877.0,12.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,3;9,False,False,,9,3,24.0,53.0,821.0,14.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,5;9,False,False,,9,5,23.0,52.0,854.0,16.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed24,2,2,8,6;9,False,False,,6,9,23.0,49.0,767.0,16.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed24,2,2,8,7;9,False,False,,9,7,24.0,55.0,721.0,13.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,8;9,False,False,,8,9,22.0,47.0,853.0,17.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed24,2,2,8,0;8,False,False,,0,8,23.0,45.0,830.0,16.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed24,2,2,8,1;8,False,False,,8,1,24.0,52.0,879.0,11.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,3;8,False,False,,8,3,24.0,50.0,823.0,13.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,5;8,False,False,,8,5,22.0,49.0,857.0,14.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed24,2,2,8,6;8,False,False,,8,6,24.0,48.0,765.0,16.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,7;8,False,False,,8,7,24.0,52.0,723.0,12.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,0;7,False,False,,0,7,25.0,50.0,699.0,11.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed24,2,2,8,1;7,False,False,,1,7,28.0,60.0,746.0,8.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed24,2,2,8,3;7,False,False,,3,7,28.0,58.0,689.0,10.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed24,2,2,8,5;7,False,False,,5,7,25.0,55.0,725.0,10.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed24,2,2,8,6;7,False,False,,6,7,26.0,53.0,637.0,11.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed24,2,2,8,0;3,False,False,,0,3,25.0,48.0,799.0,12.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed24,2,2,8,1;3,False,False,,3,1,27.0,57.0,845.0,9.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed24,2,2,8,3;5,False,False,,5,3,26.0,57.0,824.0,12.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed24,2,2,8,3;6,False,False,,6,3,26.0,51.0,737.0,12.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed24,2,2,8,0;1,False,False,,0,1,25.0,50.0,855.0,10.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed24,2,2,8,1;5,False,False,,5,1,26.0,57.0,881.0,9.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed24,2,2,8,1;6,False,False,,6,1,26.0,53.0,793.0,10.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed24,2,2,8,0;6,False,False,,0,6,25.0,47.0,744.0,15.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed24,2,2,8,5;6,False,False,,6,5,24.0,50.0,771.0,13.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,2,2,8,0;5,False,False,,0,5,24.0,48.0,833.0,13.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed24,3,3,7,0;2;8,False,False,,0;2,8,17.0,34.0,565.0,27.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,1;2;8,False,False,,2;8,1,17.0,38.0,615.0,21.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,2;3;8,False,False,,2;8,3,17.0,36.0,559.0,23.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,2;5;8,False,False,,2;5,8,16.0,35.0,592.0,25.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed24,3,3,7,2;7;8,False,False,,2;8,7,18.0,39.0,459.0,22.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,2;8;9,False,False,,2;9,8,16.0,33.0,589.0,27.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed24,3,3,7,0;2;3,False,False,,0;2,3,17.0,32.0,537.0,22.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,1;2;3,False,False,,2;3,1,19.0,39.0,584.0,18.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,2;3;5,False,False,,2;5,3,18.0,38.0,562.0,22.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,2;3;6,False,False,,2;6,3,18.0,35.0,475.0,22.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,2;3;7,False,False,,2;3,7,20.0,40.0,428.0,19.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,3,3,7,2;3;9,False,False,,2;9,3,16.0,34.0,560.0,23.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed24,3,3,7,0;3;9,False,False,,0;9,3,19.0,39.0,748.0,21.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,1;3;9,False,False,,3;9,1,20.0,46.0,794.0,18.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,3,3,7,3;5;9,False,False,,5;9,3,20.0,46.0,772.0,22.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,3,3,7,3;6;9,False,False,,6;9,3,19.0,40.0,686.0,21.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,3;7;9,False,False,,3;9,7,21.0,47.0,638.0,19.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,3,3,7,3;8;9,False,False,,8;9,3,18.0,38.0,772.0,22.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,0;2;6,False,False,,0;2,6,18.0,34.0,481.0,26.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,1;2;6,False,False,,2;6,1,18.0,37.0,531.0,20.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,2;5;6,False,False,,2;5,6,17.0,34.0,508.0,24.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,2;6;7,False,False,,2;6,7,19.0,38.0,375.0,21.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,2;6;9,False,False,,2;9,6,16.0,33.0,505.0,26.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed24,3,3,7,0;7;9,False,False,,0;9,7,19.0,41.0,648.0,20.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,1;7;9,False,False,,1;9,7,21.0,49.0,695.0,17.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,3,3,7,2;7;9,False,False,,2;9,7,17.0,37.0,460.0,22.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,5;7;9,False,False,,5;9,7,19.0,44.0,673.0,20.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,6;7;9,False,False,,6;9,7,19.0,42.0,586.0,20.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,7;8;9,False,False,,8;9,7,18.0,40.0,672.0,21.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,0;7;8,False,False,,0;8,7,19.0,38.0,649.0,20.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,1;7;8,False,False,,1;8,7,21.0,46.0,697.0,16.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,3,3,7,3;7;8,False,False,,3;8,7,21.0,44.0,640.0,18.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,3,3,7,5;7;8,False,False,,5;8,7,18.0,41.0,676.0,18.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,6;7;8,False,False,,6;8,7,20.0,41.0,584.0,20.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,3,3,7,0;1;5,False,False,,0;5,1,21.0,42.0,808.0,16.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,3,3,7,0;2;5,False,False,,0;2,5,17.0,32.0,570.0,24.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,0;3;5,False,False,,0;5,3,21.0,42.0,751.0,19.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed24,3,3,7,0;5;6,False,False,,0;6,5,20.0,38.0,697.0,21.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,3,3,7,0;5;7,False,False,,0;5,7,20.0,40.0,652.0,17.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,3,3,7,0;5;8,False,False,,0;8,5,18.0,36.0,783.0,22.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,0;5;9,False,False,,0;9,5,19.0,40.0,781.0,23.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,0;2;9,False,False,,0;2,9,16.0,32.0,567.0,26.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed24,3,3,7,1;2;9,False,False,,2;9,1,16.0,36.0,616.0,21.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed24,3,3,7,2;5;9,False,False,,2;9,5,16.0,35.0,592.0,26.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed24,3,3,7,1;5;9,False,False,,5;9,1,20.0,46.0,829.0,19.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed24,3,3,7,5;6;9,False,False,,6;9,5,18.0,39.0,719.0,23.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed24,3,3,7,5;8;9,False,False,,8;9,5,17.0,37.0,805.0,24.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed24,3,3,7,0;6;9,False,False,,0;6,9,19.0,38.0,693.0,24.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed24,3,3,7,1;6;9,False,False,,6;9,1,19.0,42.0,742.0,19.0,5.0,False,1.0,19.0,19.0,False
