M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed4,1,1,9,0,False,False,,,0,30.0,59.0,899.0,10.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed4,1,1,9,1,False,False,,,1,36.0,73.0,1020.0,6.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed4,1,1,9,2,False,False,,,2,33.0,71.0,1068.0,9.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed4,1,1,9,3,False,False,,,3,36.0,74.0,1088.0,7.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed4,1,1,9,4,False,False,,,4,37.0,74.0,1085.0,5.0,5.0,False,1.0,37.0,37.0,False
20,10,_original_nint128_seed4,1,1,9,5,False,False,,,5,32.0,67.0,1010.0,8.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed4,1,1,9,6,False,False,,,6,36.0,72.0,959.0,7.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed4,1,1,9,7,False,False,,,7,35.0,73.0,1088.0,6.0,5.0,False,1.0,35.0,35.0,False
20,10,_original_nint128_seed4,1,1,9,8,False,False,,,8,30.0,65.0,1025.0,12.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed4,1,1,9,9,False,False,,,9,38.0,77.0,1092.0,4.0,5.0,False,1.0,38.0,38.0,False
20,10,_original_nint128_seed4,2,2,8,0;2,False,False,,0,2,24.0,50.0,821.0,19.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed4,2,2,8,1;2,False,False,,2,1,28.0,61.0,942.0,15.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed4,2,2,8,2;3,False,False,,2,3,28.0,62.0,1010.0,16.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed4,2,2,8,2;4,False,False,,2,4,29.0,62.0,1007.0,14.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed4,2,2,8,2;5,False,False,,5,2,25.0,55.0,932.0,17.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed4,2,2,8,2;6,False,False,,2,6,29.0,62.0,881.0,16.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed4,2,2,8,2;7,False,False,,2,7,27.0,61.0,1010.0,15.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed4,2,2,8,2;8,False,False,,8,2,24.0,56.0,947.0,21.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed4,2,2,8,0;9,False,False,,0,9,27.0,53.0,845.0,14.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed4,2,2,8,1;9,False,False,,1,9,33.0,67.0,966.0,10.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed4,2,2,8,3;9,False,False,,3,9,33.0,68.0,1034.0,11.0,5.0,False,1.0,33.0,33.0,False
