M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed5,1,1,9,0,False,False,,,0,35.0,74.0,808.0,4.0,5.0,False,1.0,35.0,35.0,False
20,10,_original_nint128_seed5,1,1,9,2,False,False,,,2,34.0,69.0,791.0,6.0,5.0,False,1.0,34.0,34.0,False
20,10,_original_nint128_seed5,1,1,9,3,False,False,,,3,33.0,72.0,773.0,8.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed5,1,1,9,4,False,False,,,4,29.0,61.0,644.0,11.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed5,1,1,9,5,False,False,,,5,33.0,71.0,762.0,6.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed5,1,1,9,6,False,False,,,6,30.0,61.0,686.0,13.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed5,1,1,9,7,False,False,,,7,30.0,63.0,610.0,10.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed5,1,1,9,9,False,False,,,9,36.0,75.0,814.0,4.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed5,2,2,8,2;3,False,False,,2,3,28.0,61.0,733.0,16.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed5,2,2,8,2;4,False,False,,4,2,25.0,51.0,607.0,18.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed5,2,2,8,2;5,False,False,,2,5,29.0,60.0,726.0,12.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed5,2,2,8,2;6,False,False,,6,2,25.0,48.0,650.0,19.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed5,2,2,8,2;7,False,False,,7,2,26.0,52.0,574.0,16.0,5.0,False,1.0,26.0,26.0,False
