M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed22,1,1,9,0,False,False,,,0,26.0,55.0,619.0,4.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed22,1,1,9,1,False,False,,,1,24.0,50.0,685.0,7.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed22,1,1,9,2,False,False,,,2,22.0,44.0,658.0,8.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed22,1,1,9,3,False,False,,,3,24.0,49.0,736.0,6.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed22,1,1,9,4,False,False,,,4,24.0,53.0,737.0,4.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed22,1,1,9,5,False,False,,,5,25.0,52.0,630.0,4.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed22,1,1,9,7,False,False,,,7,24.0,53.0,736.0,4.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed22,1,1,9,8,False,False,,,8,25.0,50.0,702.0,6.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed22,1,1,9,9,False,False,,,9,24.0,50.0,707.0,5.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed22,2,2,8,0;2,False,False,,2,0,20.0,39.0,509.0,12.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed22,2,2,8,1;2,False,False,,2,1,18.0,34.0,575.0,15.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed22,2,2,8,2;3,False,False,,2,3,17.0,33.0,618.0,16.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed22,2,2,8,2;4,False,False,,2,4,18.0,37.0,627.0,12.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed22,2,2,8,2;5,False,False,,2,5,19.0,39.0,513.0,13.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed22,2,2,8,2;7,False,False,,2,7,17.0,37.0,624.0,13.0,5.0,False,1.0,17.0,17.0,False
