M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed0,1,1,9,0,False,False,,,0,22.0,49.0,1018.0,12.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed0,1,1,9,1,False,False,,,1,24.0,56.0,869.0,9.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed0,1,1,9,2,False,False,,,2,27.0,62.0,1060.0,4.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed0,1,1,9,3,False,False,,,3,26.0,57.0,1002.0,7.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed0,1,1,9,4,False,False,,,4,29.0,64.0,994.0,3.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed0,1,1,9,5,False,False,,,5,27.0,60.0,806.0,6.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed0,1,1,9,6,False,False,,,6,26.0,58.0,1029.0,7.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed0,1,1,9,7,False,False,,,7,27.0,60.0,1047.0,5.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed0,1,1,9,8,False,False,,,8,29.0,65.0,1049.0,3.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed0,1,1,9,9,False,False,,,9,27.0,61.0,932.0,5.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed0,2,2,8,0;2,False,False,,0,2,20.0,44.0,991.0,16.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed0,2,2,8,1;2,False,False,,1,2,22.0,50.0,842.0,13.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed0,2,2,8,2;3,False,False,,3,2,22.0,50.0,970.0,12.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed0,2,2,8,2;4,False,False,,2,4,25.0,56.0,967.0,7.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,2;5,False,False,,5,2,23.0,52.0,779.0,10.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed0,2,2,8,2;6,False,False,,6,2,22.0,50.0,1002.0,11.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed0,2,2,8,2;7,False,False,,7,2,23.0,52.0,1020.0,9.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed0,2,2,8,2;8,False,False,,2,8,25.0,57.0,1022.0,7.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,2;9,False,False,,9,2,23.0,53.0,905.0,9.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed0,2,2,8,0;9,False,False,,0,9,18.0,40.0,863.0,17.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed0,2,2,8,1;9,False,False,,1,9,20.0,47.0,714.0,14.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed0,2,2,8,3;9,False,False,,3,9,22.0,48.0,847.0,12.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed0,2,2,8,4;9,False,False,,9,4,25.0,57.0,838.0,9.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,5;9,False,False,,5,9,23.0,51.0,651.0,11.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed0,2,2,8,6;9,False,False,,6,9,23.0,51.0,874.0,12.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed0,2,2,8,7;9,False,False,,7,9,24.0,53.0,892.0,10.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed0,2,2,8,8;9,False,False,,9,8,25.0,56.0,894.0,8.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,0;8,False,False,,0,8,20.0,44.0,980.0,15.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed0,2,2,8,1;8,False,False,,1,8,22.0,51.0,831.0,12.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed0,2,2,8,3;8,False,False,,3,8,25.0,55.0,963.0,11.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,4;8,False,False,,4,8,27.0,59.0,956.0,6.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed0,2,2,8,5;8,False,False,,5,8,25.0,55.0,768.0,9.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,6;8,False,False,,6,8,24.0,53.0,991.0,10.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed0,2,2,8,7;8,False,False,,7,8,25.0,55.0,1009.0,8.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,0;7,False,False,,0,7,19.0,42.0,976.0,18.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed0,2,2,8,1;7,False,False,,1,7,20.0,46.0,829.0,14.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed0,2,2,8,3;7,False,False,,3,7,22.0,47.0,962.0,12.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed0,2,2,8,4;7,False,False,,7,4,25.0,54.0,954.0,8.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed0,2,2,8,5;7,False,False,,5,7,23.0,50.0,766.0,11.0,5.0,False,1.0,23.0,23.0,False
