M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed13,1,1,9,0,False,False,,,0,29.0,68.0,1398.0,4.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed13,1,1,9,1,False,False,,,1,28.0,66.0,1362.0,7.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed13,1,1,9,2,False,False,,,2,26.0,63.0,1283.0,6.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed13,1,1,9,3,False,False,,,3,27.0,62.0,1276.0,7.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed13,1,1,9,4,False,False,,,4,31.0,72.0,1378.0,3.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed13,1,1,9,5,False,False,,,5,23.0,51.0,1190.0,15.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed13,1,1,9,6,False,False,,,6,30.0,68.0,1290.0,6.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed13,1,1,9,7,False,False,,,7,29.0,68.0,1386.0,5.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed13,1,1,9,8,False,False,,,8,27.0,65.0,1288.0,7.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed13,1,1,9,9,False,False,,,9,28.0,64.0,1279.0,6.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed13,2,2,8,0;2,False,False,,2,0,24.0,57.0,1228.0,11.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed13,2,2,8,1;2,False,False,,2,1,21.0,52.0,1193.0,13.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed13,2,2,8,2;3,False,False,,3,2,21.0,51.0,1097.0,14.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed13,2,2,8,2;4,False,False,,2,4,24.0,58.0,1209.0,9.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed13,2,2,8,2;5,False,False,,5,2,19.0,41.0,1021.0,21.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed13,2,2,8,2;6,False,False,,2,6,23.0,54.0,1121.0,12.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed13,2,2,8,2;7,False,False,,2,7,22.0,54.0,1217.0,11.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed13,2,2,8,2;8,False,False,,2,8,20.0,51.0,1119.0,13.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed13,2,2,8,2;9,False,False,,2,9,22.0,51.0,1110.0,12.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed13,2,2,8,0;9,False,False,,9,0,24.0,55.0,1225.0,10.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed13,2,2,8,1;9,False,False,,9,1,23.0,53.0,1189.0,13.0,5.0,False,1.0,23.0,23.0,False
