M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed15,1,1,9,0,False,False,,,0,42.0,99.0,845.0,3.0,5.0,False,1.0,42.0,42.0,False
20,10,_original_nint128_seed15,1,1,9,2,False,False,,,2,34.0,79.0,790.0,10.0,5.0,False,1.0,34.0,34.0,False
20,10,_original_nint128_seed15,1,1,9,3,False,False,,,3,34.0,78.0,754.0,11.0,5.0,False,1.0,34.0,34.0,False
20,10,_original_nint128_seed15,1,1,9,5,False,False,,,5,35.0,82.0,719.0,13.0,5.0,False,1.0,35.0,35.0,False
20,10,_original_nint128_seed15,1,1,9,6,False,False,,,6,35.0,81.0,747.0,10.0,5.0,False,1.0,35.0,35.0,False
20,10,_original_nint128_seed15,1,1,9,7,False,False,,,7,35.0,83.0,818.0,10.0,5.0,False,1.0,35.0,35.0,False
20,10,_original_nint128_seed15,1,1,9,8,False,False,,,8,33.0,76.0,795.0,12.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed15,1,1,9,9,False,False,,,9,36.0,82.0,791.0,10.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed15,2,2,8,0;2,False,False,,2,0,31.0,74.0,763.0,13.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed15,2,2,8,2;3,False,False,,3,2,26.0,58.0,668.0,23.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed15,2,2,8,2;5,False,False,,2,5,25.0,60.0,636.0,24.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,2;6,False,False,,2,6,26.0,60.0,665.0,20.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed15,2,2,8,2;7,False,False,,2,7,24.0,56.0,736.0,20.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed15,2,2,8,2;8,False,False,,8,2,26.0,59.0,705.0,24.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed15,2,2,8,2;9,False,False,,2,9,26.0,58.0,709.0,20.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed15,2,2,8,0;9,False,False,,9,0,33.0,77.0,764.0,13.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed15,2,2,8,3;9,False,False,,3,9,25.0,59.0,673.0,21.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,5;9,False,False,,5,9,27.0,61.0,638.0,23.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed15,2,2,8,6;9,False,False,,6,9,27.0,62.0,665.0,21.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed15,2,2,8,7;9,False,False,,9,7,25.0,63.0,737.0,20.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,8;9,False,False,,8,9,26.0,60.0,711.0,24.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed15,2,2,8,0;8,False,False,,8,0,30.0,71.0,768.0,15.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed15,2,2,8,3;8,False,False,,8,3,25.0,56.0,672.0,26.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,5;8,False,False,,8,5,24.0,55.0,642.0,25.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed15,2,2,8,6;8,False,False,,8,6,25.0,57.0,670.0,22.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,7;8,False,False,,8,7,24.0,54.0,741.0,22.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed15,2,2,8,0;7,False,False,,7,0,32.0,78.0,791.0,13.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed15,2,2,8,3;7,False,False,,3,7,25.0,62.0,699.0,22.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,5;7,False,False,,5,7,27.0,65.0,664.0,24.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed15,2,2,8,6;7,False,False,,6,7,27.0,65.0,692.0,21.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed15,2,2,8,0;3,False,False,,3,0,31.0,73.0,727.0,14.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed15,2,2,8,3;5,False,False,,3,5,25.0,58.0,601.0,24.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,3;6,False,False,,3,6,25.0,56.0,628.0,22.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,2,2,8,0;6,False,False,,6,0,33.0,78.0,720.0,13.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed15,2,2,8,5;6,False,False,,6,5,26.0,62.0,593.0,24.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed15,2,2,8,0;5,False,False,,5,0,33.0,78.0,692.0,16.0,5.0,False,1.0,33.0,33.0,False
20,10,_original_nint128_seed15,3,3,7,0;2;8,False,False,,2;8,0,23.0,54.0,678.0,27.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed15,3,3,7,2;3;8,False,False,,3;8,2,20.0,45.0,576.0,41.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed15,3,3,7,2;5;8,False,False,,5;8,2,18.0,41.0,551.0,38.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,2;6;8,False,False,,6;8,2,19.0,42.0,580.0,34.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed15,3,3,7,2;7;8,False,False,,7;8,2,18.0,38.0,651.0,34.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,2;8;9,False,False,,2;9,8,20.0,45.0,621.0,36.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed15,3,3,7,0;2;3,False,False,,2;3,0,23.0,53.0,641.0,26.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed15,3,3,7,2;3;5,False,False,,3;5,2,18.0,41.0,514.0,37.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,2;3;6,False,False,,3;6,2,19.0,41.0,542.0,34.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed15,3,3,7,2;3;7,False,False,,2;7,3,18.0,40.0,613.0,34.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,2;3;9,False,False,,2;3,9,18.0,41.0,587.0,33.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,0;3;9,False,False,,3;9,0,22.0,54.0,646.0,24.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed15,3,3,7,3;5;9,False,False,,3;5,9,18.0,40.0,520.0,34.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,3;6;9,False,False,,3;6,9,18.0,40.0,546.0,33.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,3;7;9,False,False,,3;9,7,19.0,45.0,618.0,32.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed15,3,3,7,3;8;9,False,False,,3;8,9,18.0,43.0,586.0,39.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,0;2;6,False,False,,2;6,0,24.0,57.0,638.0,23.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed15,3,3,7,2;5;6,False,False,,2;5,6,18.0,44.0,510.0,35.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,2;6;7,False,False,,2;7,6,18.0,42.0,610.0,31.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,2;6;9,False,False,,2;9,6,19.0,42.0,583.0,31.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed15,3,3,7,0;7;9,False,False,,7;9,0,22.0,58.0,710.0,23.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed15,3,3,7,2;7;9,False,False,,2;7,9,18.0,39.0,655.0,30.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,5;7;9,False,False,,5;9,7,18.0,47.0,583.0,34.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,6;7;9,False,False,,6;9,7,18.0,48.0,610.0,32.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,7;8;9,False,False,,7;8,9,18.0,41.0,657.0,34.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,0;7;8,False,False,,7;8,0,21.0,49.0,714.0,25.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed15,3,3,7,3;7;8,False,False,,7;8,3,18.0,39.0,617.0,37.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,5;7;8,False,False,,7;8,5,17.0,37.0,587.0,36.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed15,3,3,7,6;7;8,False,False,,7;8,6,18.0,40.0,615.0,33.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed15,3,3,7,0;2;5,False,False,,2;5,0,23.0,56.0,609.0,27.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed15,3,3,7,0;3;5,False,False,,3;5,0,23.0,54.0,574.0,27.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed15,3,3,7,0;5;6,False,False,,5;6,0,25.0,60.0,566.0,27.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed15,3,3,7,0;5;7,False,False,,5;7,0,25.0,61.0,637.0,27.0,5.0,False,1.0,25.0,25.0,False
