M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed17,1,1,9,0,False,False,,,0,30.0,66.0,916.0,4.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed17,1,1,9,1,False,False,,,1,30.0,68.0,911.0,4.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed17,1,1,9,2,False,False,,,2,27.0,61.0,937.0,8.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed17,1,1,9,3,False,False,,,3,29.0,65.0,804.0,6.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed17,1,1,9,4,False,False,,,4,28.0,63.0,771.0,7.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed17,1,1,9,5,False,False,,,5,30.0,69.0,931.0,4.0,5.0,False,1.0,30.0,30.0,False
20,10,_original_nint128_seed17,1,1,9,6,False,False,,,6,26.0,59.0,896.0,8.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed17,1,1,9,7,False,False,,,7,31.0,69.0,933.0,2.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed17,1,1,9,8,False,False,,,8,21.0,47.0,787.0,16.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed17,1,1,9,9,False,False,,,9,29.0,65.0,842.0,6.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed17,2,2,8,0;2,False,False,,2,0,25.0,55.0,888.0,13.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed17,2,2,8,1;2,False,False,,2,1,24.0,54.0,884.0,12.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed17,2,2,8,2;3,False,False,,2,3,23.0,51.0,777.0,14.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed17,2,2,8,2;4,False,False,,2,4,22.0,49.0,744.0,15.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed17,2,2,8,2;5,False,False,,2,5,24.0,55.0,904.0,12.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed17,2,2,8,2;6,False,False,,6,2,22.0,49.0,869.0,16.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed17,2,2,8,2;7,False,False,,2,7,25.0,55.0,906.0,10.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed17,2,2,8,2;8,False,False,,8,2,17.0,37.0,760.0,24.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed17,2,2,8,2;9,False,False,,2,9,23.0,51.0,815.0,14.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed17,2,2,8,0;9,False,False,,9,0,26.0,56.0,794.0,10.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed17,2,2,8,1;9,False,False,,9,1,26.0,58.0,789.0,10.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed17,2,2,8,3;9,False,False,,3,9,25.0,55.0,682.0,12.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed17,2,2,8,4;9,False,False,,4,9,24.0,53.0,649.0,13.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed17,2,2,8,5;9,False,False,,9,5,26.0,59.0,809.0,10.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed17,2,2,8,7;9,False,False,,9,7,27.0,59.0,811.0,8.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed17,2,2,8,8;9,False,False,,8,9,18.0,40.0,635.0,23.0,5.0,False,1.0,18.0,18.0,False
