tag,M,P,seed,source_seed,retrain_seed,candidate_id,P_original,P_effective,num_deleted,num_clusters,minimal_num_clusters,deleted_set_str,distill_mode,distill_lambda,symbol_margin,distill_auto_lambda,distill_grad_ratio_alpha,grad_norm_out_initial,grad_norm_aux_initial,distill_lambda_effective,weighting_scheme,lambda_formula,alpha,auto_lambda_enabled,sync_scope,sync_interval,r_anchor,r_local,r_bridge,r_long,n_interleave,num_epochs,batch_episodes,segment_len,max_bridge_len,input_sigma,state_sigma,lr_start,lr_end,lr_fixed,target_fp_count,fp_count_weight,lambda_target_fp_residual,target_fp_residual_ramp_epochs,fp_hidden_lr_mult,final_loss,best_Dstsp,best_DH,final_vis_fps,final_traj_loss,final_target_fp_residual,ckpt
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed11_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,11,11,0,1,10,3,7,5,5,0;1;3;5;6;7;9,retained_preactivation,1.0,,True,0.1,87273.3579965845,3672.6119600871257,2.3763294065652962,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.051040,1.1503,0.0091,4,0.034749,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed11_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,3,3,0,1,10,3,7,5,5,0;1;2;3;4;6;8,retained_preactivation,1.0,,True,0.1,226331.70432796198,5981.321790974592,3.7839747172519815,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,656274796395976668844392448.000000,1.3178,0.0120,5,56001171495242294099968.000000,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand3_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,4,4,0,3,10,3,7,5,5,1;2;3;4;5;7;8,retained_preactivation,1.0,,True,0.1,748133.5613805866,142217.75242212205,0.5260479431288031,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.353213,2.5124,0.0218,2,0.310822,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand3_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,3,3,0,2,10,3,7,5,5,0;1;3;4;5;7;8,retained_preactivation,1.0,,True,0.1,138649.61394825447,4540.36155206141,3.0537130657646614,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.022416,1.1267,0.0139,5,0.010836,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed0_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,0,0,0,0,10,3,7,5,5,0;1;3;4;5;7;9,retained_preactivation,1.0,,True,0.1,4123.991156937657,33.21534494800029,12.415921506742668,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.076402,1.3970,0.0111,4,0.015502,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed0_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand2_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,7,7,0,2,10,3,7,5,5,1;2;4;5;7;8;9,retained_preactivation,1.0,,True,0.1,2984.630400066313,3700.4495588374125,0.0806558866054104,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.114989,2.5973,0.0073,3,0.097425,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand2_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,9,9,0,1,10,3,7,5,5,0;1;2;3;5;7;8,retained_preactivation,1.0,,True,0.1,3867904019.5878205,342602596.5496684,1.1289768549746166,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.025116,1.1390,0.0146,5,0.008815,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,4,4,0,0,10,3,7,5,5,0;1;2;3;4;5;8,retained_preactivation,1.0,,True,0.1,590.7502711065819,21.379960025610814,2.7631027859682677,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.567810,3.0043,0.0141,3,0.287331,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed2_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,2,2,0,0,10,3,7,5,5,2;4;5;6;7;8;9,retained_preactivation,1.0,,True,0.1,53801941433.50672,39123732566.18424,0.13751740415486144,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.014849,1.2342,0.0116,5,0.012598,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed2_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,8,8,0,1,10,3,7,5,5,0;3;4;6;7;8;9,retained_preactivation,1.0,,True,0.1,474010.18660467624,22454.471217819293,2.1109835186344266,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.046285,1.2652,0.0068,5,0.015761,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
