E_stsp,M,P,P_effective,P_original,Q_vis,alpha,auto_lambda_enabled,batch_episodes,best_DH,best_Dstsp,candidate_id,ckpt,deleted_set_str,distill_auto_lambda,distill_grad_ratio_alpha,distill_lambda,distill_lambda_effective,distill_mode,final_loss,final_target_fp_residual,final_traj_loss,final_vis_fps,fp_count_weight,fp_hidden_lr_mult,grad_norm_aux_initial,grad_norm_out_initial,guidance,input_sigma,lambda_formula,lambda_target_fp_residual,lr_end,lr_fixed,lr_start,max_bridge_len,minimal_num_clusters,n_interleave,n_posttransient_symbols,num_clusters,num_deleted,num_epochs,r_anchor,r_bridge,r_local,r_long,retrain_seed,run_status,seed,segment_len,source_seed,state_sigma,symbol_margin,sync_interval,sync_scope,tag,target_fp_count,target_fp_residual_ramp_epochs,teacher,weighting_scheme
1.359514,20,10,4,10,5,0.1,True,16,0.0061,1.3595,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand0_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;4;5;9,True,0.1,1.0,6.247039656439609,full_preactivation,0.043937,nan,0.023592,5,5.0,1.0,7711.559150979943,481744.15829151473,full,0.0,,0.0,1e-05,False,0.001,200,5,128,7,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand0_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.435489,20,10,4,10,5,0.1,True,16,0.0058,1.4355,1,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand1_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;4;7;9,True,0.1,1.0,6.2408775308085,full_preactivation,0.045173,nan,0.011362,5,5.0,1.0,1264.1069205730284,78891.36477143744,full,0.0,,0.0,1e-05,False,0.001,200,5,128,8,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand1_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.362978,20,10,4,10,5,0.1,True,16,0.0072,1.3630,2,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand2_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;5;7;9,True,0.1,1.0,8.059439310972113,full_preactivation,0.032876,nan,0.012461,5,5.0,1.0,3109.22140198515,250585.81193674952,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand2_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.298677,20,10,4,10,5,0.1,True,16,0.0080,1.2987,3,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand3_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;4;5;8;9,True,0.1,1.0,9.679502575798479,full_preactivation,0.056583,nan,0.029368,5,5.0,1.0,748.5681644813651,72457.67476258123,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand3_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.459439,20,10,4,10,5,0.1,True,16,0.0064,1.4594,4,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand4_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;4;7;8;9,True,0.1,1.0,10.578426926263987,full_preactivation,0.077972,nan,0.028867,5,5.0,1.0,137.9689874493639,14594.948518237397,full,0.0,,0.0,1e-05,False,0.001,200,5,128,7,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand4_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.216611,20,10,4,10,5,0.1,True,16,0.0107,1.2166,5,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand5_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;5;7;8;9,True,0.1,1.0,9.766135060077236,full_preactivation,0.030357,nan,0.009160,5,5.0,1.0,661.349989117312,64588.3331570029,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand5_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
2.391837,20,10,4,10,4,0.1,True,16,0.0089,2.3918,6,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand6_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;2;4;5;7;9,True,0.1,1.0,4.80542088533115,full_preactivation,0.254428,nan,0.188922,4,5.0,1.0,3035.3299527193085,145860.37948668582,full,0.0,,0.0,1e-05,False,0.001,200,5,128,7,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand6_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.195213,20,10,4,10,5,0.1,True,16,0.0053,1.1952,7,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand7_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;4;5;7;8;9,True,0.1,1.0,4.558968636170243,full_preactivation,0.035375,nan,0.015664,5,5.0,1.0,1806.9870987364575,82379.97509103775,full,0.0,,0.0,1e-05,False,0.001,200,5,128,6,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand7_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.316500,20,10,4,10,5,0.1,True,16,0.0056,1.3165,8,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand8_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,1;2;4;5;8;9,True,0.1,1.0,9.809228461650843,full_preactivation,0.055605,nan,0.032886,5,5.0,1.0,354.8451176148788,34807.5682718572,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand8_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
5.636041,20,10,4,10,5,0.1,True,16,0.0080,2.1774,9,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand9_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,1;2;4;7;8;9,True,0.1,1.0,10.669918214109845,full_preactivation,0.514057,nan,0.247640,3,5.0,1.0,72.61166112267128,7747.604855695727,full,0.0,,0.0,1e-05,False,0.001,200,5,128,9,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand9_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
