tag,M,P,seed,source_seed,retrain_seed,candidate_id,P_original,P_effective,num_deleted,num_clusters,minimal_num_clusters,deleted_set_str,distill_mode,distill_lambda,symbol_margin,distill_auto_lambda,distill_grad_ratio_alpha,grad_norm_out_initial,grad_norm_aux_initial,distill_lambda_effective,weighting_scheme,lambda_formula,alpha,auto_lambda_enabled,sync_scope,sync_interval,r_anchor,r_local,r_bridge,r_long,n_interleave,num_epochs,batch_episodes,segment_len,max_bridge_len,input_sigma,state_sigma,lr_start,lr_end,lr_fixed,target_fp_count,fp_count_weight,lambda_target_fp_residual,target_fp_residual_ramp_epochs,fp_hidden_lr_mult,final_loss,best_Dstsp,best_DH,final_vis_fps,final_traj_loss,final_target_fp_residual,ckpt,condition,is_baseline,run_status,Q_vis,n_posttransient_symbols,E_stsp
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand0_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,0,10,4,6,5,5,0;1;2;4;5;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.016433,1.3010,0.0053,5,0.009379,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand0_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,7,1.357920
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand1_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,1,10,4,6,5,5,0;1;2;4;7;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.110950,1.7002,0.0163,1,0.050959,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand1_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,3,14,2.892175
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand2_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,2,10,4,6,5,5,0;1;2;5;7;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.049460,1.5984,0.0085,5,0.016520,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand2_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,7,1.598431
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand3_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,3,10,4,6,5,5,0;1;4;5;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.025474,1.2212,0.0071,5,0.017177,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand3_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.221214
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand4_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,4,10,4,6,5,5,0;1;4;7;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.026571,1.2960,0.0119,5,0.010294,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand4_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,7,1.296010
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand5_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,5,10,4,6,5,5,0;1;5;7;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.015819,1.2696,0.0134,5,0.006983,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand5_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.269648
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand6_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,6,10,4,6,5,5,0;2;4;5;7;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.235636,2.3262,0.0111,4,0.215496,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand6_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,7,3.093047
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand7_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,7,10,4,6,5,5,0;4;5;7;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.023355,1.2980,0.0074,5,0.010501,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand7_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,6,1.297963
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand8_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,8,10,4,6,5,5,1;2;4;5;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.015258,1.2839,0.0082,5,0.008633,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand8_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,7,1.283925
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand9_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,9,10,4,6,5,5,1;2;4;7;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.156921,2.1895,0.0112,4,0.133439,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand9_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,9,2.189465
