M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed2,1,1,9,0,False,False,,,0,57.0,120.0,1258.0,9.0,5.0,False,1.0,57.0,57.0,False
20,10,_original_nint128_seed2,1,1,9,1,False,False,,,1,58.0,129.0,1351.0,4.0,5.0,False,1.0,58.0,58.0,False
20,10,_original_nint128_seed2,1,1,9,2,False,False,,,2,52.0,109.0,1301.0,17.0,5.0,False,1.0,52.0,52.0,False
20,10,_original_nint128_seed2,1,1,9,3,False,False,,,3,60.0,131.0,1348.0,5.0,5.0,False,1.0,60.0,60.0,False
20,10,_original_nint128_seed2,1,1,9,4,False,False,,,4,56.0,124.0,1316.0,11.0,5.0,False,1.0,56.0,56.0,False
20,10,_original_nint128_seed2,1,1,9,5,False,False,,,5,47.0,100.0,1053.0,21.0,5.0,False,1.0,47.0,47.0,False
20,10,_original_nint128_seed2,1,1,9,6,False,False,,,6,51.0,111.0,1093.0,11.0,5.0,False,1.0,51.0,51.0,False
20,10,_original_nint128_seed2,1,1,9,7,False,False,,,7,53.0,113.0,1299.0,14.0,5.0,False,1.0,53.0,53.0,False
20,10,_original_nint128_seed2,1,1,9,8,False,False,,,8,53.0,117.0,1326.0,12.0,5.0,False,1.0,53.0,53.0,False
20,10,_original_nint128_seed2,1,1,9,9,False,False,,,9,57.0,123.0,1334.0,9.0,5.0,False,1.0,57.0,57.0,False
20,10,_original_nint128_seed2,2,2,8,0;2,False,False,,2,0,44.0,91.0,1156.0,26.0,5.0,False,1.0,44.0,44.0,False
20,10,_original_nint128_seed2,2,2,8,1;2,False,False,,2,1,46.0,99.0,1240.0,23.0,5.0,False,1.0,46.0,46.0,False
20,10,_original_nint128_seed2,2,2,8,2;3,False,False,,2,3,46.0,100.0,1246.0,22.0,5.0,False,1.0,46.0,46.0,False
20,10,_original_nint128_seed2,2,2,8,2;4,False,False,,2,4,42.0,94.0,1214.0,28.0,5.0,False,1.0,42.0,42.0,False
20,10,_original_nint128_seed2,2,2,8,2;5,False,False,,5,2,36.0,75.0,948.0,41.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed2,2,2,8,2;6,False,False,,2,6,38.0,81.0,990.0,29.0,5.0,False,1.0,38.0,38.0,False
20,10,_original_nint128_seed2,2,2,8,2;7,False,False,,2,7,41.0,86.0,1195.0,32.0,5.0,False,1.0,41.0,41.0,False
20,10,_original_nint128_seed2,2,2,8,2;8,False,False,,2,8,41.0,92.0,1223.0,30.0,5.0,False,1.0,41.0,41.0,False
20,10,_original_nint128_seed2,2,2,8,2;9,False,False,,2,9,43.0,92.0,1232.0,26.0,5.0,False,1.0,43.0,43.0,False
20,10,_original_nint128_seed2,2,2,8,0;9,False,False,,0,9,49.0,105.0,1184.0,19.0,5.0,False,1.0,49.0,49.0,False
20,10,_original_nint128_seed2,2,2,8,1;9,False,False,,9,1,49.0,112.0,1282.0,13.0,5.0,False,1.0,49.0,49.0,False
20,10,_original_nint128_seed2,2,2,8,3;9,False,False,,9,3,49.0,112.0,1279.0,14.0,5.0,False,1.0,49.0,49.0,False
20,10,_original_nint128_seed2,2,2,8,4;9,False,False,,9,4,48.0,109.0,1246.0,21.0,5.0,False,1.0,48.0,48.0,False
20,10,_original_nint128_seed2,2,2,8,5;9,False,False,,5,9,39.0,86.0,983.0,31.0,5.0,False,1.0,39.0,39.0,False
20,10,_original_nint128_seed2,2,2,8,6;9,False,False,,6,9,40.0,93.0,1023.0,21.0,5.0,False,1.0,40.0,40.0,False
20,10,_original_nint128_seed2,2,2,8,7;9,False,False,,7,9,44.0,96.0,1230.0,23.0,5.0,False,1.0,44.0,44.0,False
20,10,_original_nint128_seed2,2,2,8,8;9,False,False,,8,9,45.0,101.0,1257.0,21.0,5.0,False,1.0,45.0,45.0,False
20,10,_original_nint128_seed2,2,2,8,0;8,False,False,,8,0,46.0,99.0,1178.0,23.0,5.0,False,1.0,46.0,46.0,False
20,10,_original_nint128_seed2,2,2,8,1;8,False,False,,8,1,42.0,103.0,1274.0,16.0,5.0,False,1.0,42.0,42.0,False
20,10,_original_nint128_seed2,2,2,8,3;8,False,False,,8,3,48.0,109.0,1271.0,17.0,5.0,False,1.0,48.0,48.0,False
20,10,_original_nint128_seed2,2,2,8,4;8,False,False,,8,4,45.0,102.0,1239.0,23.0,5.0,False,1.0,45.0,45.0,False
20,10,_original_nint128_seed2,2,2,8,5;8,False,False,,5,8,36.0,78.0,976.0,33.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed2,2,2,8,6;8,False,False,,6,8,40.0,88.0,1016.0,23.0,5.0,False,1.0,40.0,40.0,False
20,10,_original_nint128_seed2,2,2,8,7;8,False,False,,7,8,40.0,90.0,1222.0,26.0,5.0,False,1.0,40.0,40.0,False
20,10,_original_nint128_seed2,2,2,8,0;7,False,False,,7,0,44.0,93.0,1154.0,23.0,5.0,False,1.0,44.0,44.0,False
20,10,_original_nint128_seed2,2,2,8,1;7,False,False,,7,1,48.0,105.0,1243.0,19.0,5.0,False,1.0,48.0,48.0,False
20,10,_original_nint128_seed2,2,2,8,3;7,False,False,,7,3,49.0,107.0,1244.0,19.0,5.0,False,1.0,49.0,49.0,False
20,10,_original_nint128_seed2,2,2,8,4;7,False,False,,7,4,43.0,97.0,1212.0,25.0,5.0,False,1.0,43.0,43.0,False
20,10,_original_nint128_seed2,2,2,8,5;7,False,False,,5,7,38.0,76.0,949.0,35.0,5.0,False,1.0,38.0,38.0,False
