M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed27,1,1,9,1,False,False,,,1,22.0,44.0,1085.0,5.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed27,1,1,9,2,False,False,,,2,24.0,53.0,1092.0,2.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed27,1,1,9,3,False,False,,,3,22.0,48.0,1156.0,6.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed27,1,1,9,4,False,False,,,4,21.0,47.0,1112.0,8.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed27,1,1,9,5,False,False,,,5,24.0,51.0,1168.0,3.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed27,1,1,9,6,False,False,,,6,23.0,47.0,1084.0,5.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed27,1,1,9,7,False,False,,,7,21.0,46.0,1161.0,7.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed27,1,1,9,8,False,False,,,8,21.0,48.0,1096.0,6.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed27,1,1,9,9,False,False,,,9,25.0,55.0,1219.0,2.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed27,2,2,8,1;2,False,False,,1,2,20.0,40.0,939.0,7.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,2;3,False,False,,3,2,20.0,44.0,1010.0,8.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,2;4,False,False,,4,2,19.0,43.0,966.0,10.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed27,2,2,8,2;5,False,False,,5,2,22.0,48.0,1017.0,6.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed27,2,2,8,2;6,False,False,,6,2,21.0,43.0,938.0,7.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed27,2,2,8,2;7,False,False,,7,2,19.0,42.0,1015.0,9.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed27,2,2,8,2;8,False,False,,8,2,20.0,45.0,950.0,8.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,2;9,False,False,,2,9,23.0,51.0,1073.0,4.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed27,2,2,8,1;9,False,False,,1,9,21.0,42.0,1066.0,7.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed27,2,2,8,3;9,False,False,,3,9,21.0,46.0,1137.0,8.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed27,2,2,8,4;9,False,False,,4,9,20.0,45.0,1093.0,10.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,5;9,False,False,,5,9,23.0,49.0,1149.0,5.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed27,2,2,8,6;9,False,False,,6,9,22.0,45.0,1065.0,7.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed27,2,2,8,7;9,False,False,,7,9,20.0,44.0,1142.0,9.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,8;9,False,False,,8,9,20.0,46.0,1077.0,8.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,1;8,False,False,,1,8,18.0,36.0,943.0,11.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed27,2,2,8,3;8,False,False,,8,3,17.0,39.0,1014.0,12.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed27,2,2,8,4;8,False,False,,4,8,16.0,38.0,970.0,14.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed27,2,2,8,5;8,False,False,,8,5,19.0,42.0,1026.0,9.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed27,2,2,8,6;8,False,False,,6,8,19.0,40.0,936.0,12.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed27,2,2,8,7;8,False,False,,7,8,16.0,37.0,1019.0,13.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed27,2,2,8,1;7,False,False,,1,7,18.0,36.0,1004.0,13.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed27,2,2,8,3;7,False,False,,7,3,18.0,39.0,1079.0,13.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed27,2,2,8,4;7,False,False,,7,4,17.0,38.0,1035.0,15.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed27,2,2,8,5;7,False,False,,7,5,19.0,40.0,1091.0,10.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed27,2,2,8,6;7,False,False,,7,6,18.0,36.0,1007.0,12.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed27,2,2,8,1;3,False,False,,1,3,18.0,36.0,1000.0,12.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed27,2,2,8,3;4,False,False,,4,3,18.0,40.0,1030.0,14.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed27,2,2,8,3;5,False,False,,3,5,20.0,42.0,1086.0,9.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,3;6,False,False,,6,3,19.0,38.0,1002.0,11.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed27,2,2,8,1;4,False,False,,1,4,17.0,34.0,959.0,13.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed27,2,2,8,1;5,False,False,,1,5,20.0,38.0,1015.0,8.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,1;6,False,False,,1,6,20.0,39.0,765.0,12.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed27,2,2,8,4;6,False,False,,4,6,18.0,37.0,958.0,13.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed27,2,2,8,5;6,False,False,,6,5,21.0,41.0,1014.0,8.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed27,2,2,8,4;5,False,False,,4,5,19.0,41.0,1042.0,11.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed27,3,3,7,1;2;8,False,False,,1;8,2,17.0,33.0,797.0,13.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed27,3,3,7,2;3;8,False,False,,3;8,2,16.0,36.0,868.0,14.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed27,3,3,7,2;4;8,False,False,,4;8,2,15.0,35.0,824.0,16.0,5.0,False,1.0,15.0,15.0,False
