M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed1,1,1,9,0,False,False,,,0,46.0,96.0,1562.0,8.0,5.0,False,1.0,46.0,46.0,False
20,10,_original_nint128_seed1,1,1,9,1,False,False,,,1,42.0,85.0,1556.0,14.0,5.0,False,1.0,42.0,42.0,False
20,10,_original_nint128_seed1,1,1,9,2,False,False,,,2,44.0,89.0,1583.0,12.0,5.0,False,1.0,44.0,44.0,False
20,10,_original_nint128_seed1,1,1,9,3,False,False,,,3,44.0,93.0,1727.0,11.0,5.0,False,1.0,44.0,44.0,False
20,10,_original_nint128_seed1,1,1,9,4,False,False,,,4,45.0,96.0,1782.0,7.0,5.0,False,1.0,45.0,45.0,False
20,10,_original_nint128_seed1,1,1,9,5,False,False,,,5,39.0,86.0,1498.0,13.0,5.0,False,1.0,39.0,39.0,False
20,10,_original_nint128_seed1,1,1,9,6,False,False,,,6,45.0,95.0,1738.0,9.0,5.0,False,1.0,45.0,45.0,False
20,10,_original_nint128_seed1,1,1,9,8,False,False,,,8,49.0,103.0,1785.0,5.0,5.0,False,1.0,49.0,49.0,False
20,10,_original_nint128_seed1,1,1,9,9,False,False,,,9,47.0,99.0,1454.0,8.0,5.0,False,1.0,47.0,47.0,False
20,10,_original_nint128_seed1,2,2,8,0;2,False,False,,2,0,37.0,74.0,1325.0,20.0,5.0,False,1.0,37.0,37.0,False
20,10,_original_nint128_seed1,2,2,8,1;2,False,False,,1,2,32.0,65.0,1315.0,27.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed1,2,2,8,2;3,False,False,,2,3,36.0,73.0,1490.0,23.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed1,2,2,8,2;4,False,False,,2,4,36.0,74.0,1545.0,19.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed1,2,2,8,2;5,False,False,,5,2,32.0,68.0,1259.0,26.0,5.0,False,1.0,32.0,32.0,False
20,10,_original_nint128_seed1,2,2,8,2;6,False,False,,2,6,37.0,75.0,1501.0,21.0,5.0,False,1.0,37.0,37.0,False
20,10,_original_nint128_seed1,2,2,8,2;8,False,False,,2,8,40.0,81.0,1548.0,17.0,5.0,False,1.0,40.0,40.0,False
20,10,_original_nint128_seed1,2,2,8,2;9,False,False,,2,9,36.0,76.0,1214.0,22.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed1,2,2,8,0;9,False,False,,0,9,40.0,85.0,1192.0,17.0,5.0,False,1.0,40.0,40.0,False
20,10,_original_nint128_seed1,2,2,8,1;9,False,False,,1,9,36.0,73.0,1190.0,22.0,5.0,False,1.0,36.0,36.0,False
20,10,_original_nint128_seed1,2,2,8,3;9,False,False,,3,9,39.0,82.0,1361.0,19.0,5.0,False,1.0,39.0,39.0,False
20,10,_original_nint128_seed1,2,2,8,4;9,False,False,,4,9,39.0,84.0,1416.0,15.0,5.0,False,1.0,39.0,39.0,False
20,10,_original_nint128_seed1,2,2,8,5;9,False,False,,5,9,34.0,74.0,1132.0,21.0,5.0,False,1.0,34.0,34.0,False
20,10,_original_nint128_seed1,2,2,8,6;9,False,False,,6,9,39.0,83.0,1372.0,17.0,5.0,False,1.0,39.0,39.0,False
20,10,_original_nint128_seed1,2,2,8,8;9,False,False,,9,8,43.0,91.0,1419.0,13.0,5.0,False,1.0,43.0,43.0,False
20,10,_original_nint128_seed1,2,2,8,0;8,False,False,,0,8,42.0,88.0,1527.0,13.0,5.0,False,1.0,42.0,42.0,False
20,10,_original_nint128_seed1,2,2,8,1;8,False,False,,1,8,39.0,80.0,1520.0,20.0,5.0,False,1.0,39.0,39.0,False
20,10,_original_nint128_seed1,2,2,8,3;8,False,False,,3,8,40.0,85.0,1692.0,16.0,5.0,False,1.0,40.0,40.0,False
20,10,_original_nint128_seed1,2,2,8,4;8,False,False,,4,8,41.0,88.0,1747.0,12.0,5.0,False,1.0,41.0,41.0,False
